Company,Product,TypeName,CPU_Company,CPU_Frequency,RAM,Memory,GPU_Company,Weight,Price,Touchscreen,Ips,ppi,os
Asus,134,Gaming,Intel,2.8,16,5,Nvidia,2.2,1449.0,0,1,174.05705383053478,Windows
Dell,576,Ultrabook,Intel,1.8,8,16,Intel,1.21,1649.0,0,1,204.15714584634154,Windows
Asus,135,Gaming,AMD,3.0,8,10,AMD,2.45,699.0,0,0,174.05705383053478,Windows
Acer,59,Notebook,Intel,1.8,8,10,Nvidia,2.2,689.0,0,0,174.05705383053478,Windows
HP,368,Notebook,Intel,1.8,16,29,Intel,1.49,1197.0,0,0,204.15714584634154,Windows
Dell,258,Gaming,Intel,2.5,8,16,Nvidia,2.65,1195.0,0,0,174.05705383053478,Windows
Asus,616,Ultrabook,Intel,2.7,8,16,Intel,1.25,1049.0,0,0,193.94928855402446,Windows
Acer,423,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.5,847.0,1,1,204.15714584634154,Windows
Dell,239,Notebook,Intel,2.7,8,10,AMD,2.2,599.9,0,0,174.05705383053478,Others/No OS/Linux
Dell,239,Notebook,Intel,2.0,4,16,AMD,2.2,485.0,0,0,174.05705383053478,Others/No OS/Linux
Asus,563,Notebook,Intel,2.4,6,16,Nvidia,2.0,577.0,0,0,174.05705383053478,Windows
HP,314,Gaming,Intel,2.8,12,5,Nvidia,2.62,1249.0,0,1,174.05705383053478,Windows
HP,21,Notebook,Intel,2.7,8,16,AMD,1.91,719.0,0,0,174.05705383053478,Windows
HP,29,Notebook,AMD,1.5,4,26,AMD,2.1,349.0,0,0,174.05705383053478,Windows
Dell,240,Notebook,Intel,1.6,8,10,AMD,2.2,647.0,0,0,174.05705383053478,Others/No OS/Linux
HP,124,Ultrabook,Intel,2.7,8,16,Nvidia,1.38,1119.0,0,1,204.15714584634154,Windows
Microsoft,429,Ultrabook,Intel,2.5,8,16,Intel,1.252,1340.0,1,0,236.33079975657054,Windows
HP,323,Notebook,Intel,2.5,6,16,Nvidia,1.58,659.0,0,1,193.94928855402446,Windows
Lenovo,228,Notebook,Intel,2.0,4,10,Intel,1.85,414.9,0,0,174.05705383053478,Windows
Asus,501,Ultrabook,Intel,2.7,8,16,Nvidia,1.3,1193.0,0,1,193.94928855402446,Windows
MSI,167,Gaming,Intel,2.8,16,18,Nvidia,2.2,1299.0,0,0,174.05705383053478,Windows
Lenovo,486,Notebook,Intel,2.7,8,16,Intel,1.58,1480.0,0,1,193.94928855402446,Windows
Asus,541,Ultrabook,Intel,1.8,16,18,Nvidia,1.5,1262.0,0,0,174.05705383053478,Windows
Dell,576,Ultrabook,Intel,2.4,8,16,Intel,1.23,1379.0,1,0,340.26190974390255,Windows
Lenovo,474,2 in 1 Convertible,Intel,2.5,8,16,Intel,1.37,1399.0,1,1,204.15714584634154,Windows
HP,369,Notebook,Intel,1.6,4,26,Intel,1.63,722.0,0,1,137.98683758583198,Windows
Dell,576,Ultrabook,Intel,1.6,8,16,Intel,1.21,1629.0,0,1,204.15714584634154,Windows
HP,421,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.26,1398.99,1,1,204.15714584634154,Windows
HP,369,Notebook,Intel,1.8,8,29,Intel,1.63,1084.0,0,0,193.94928855402446,Windows
Dell,257,Notebook,Intel,1.8,8,18,Nvidia,2.16,1130.33,0,1,174.05705383053478,Windows
Asus,572,Notebook,Intel,2.0,4,10,Nvidia,2.0,564.0,0,0,156.9531814888059,Windows
Asus,541,Notebook,Intel,1.8,8,16,Nvidia,1.7,1118.0,0,0,174.05705383053478,Windows
Acer,422,Notebook,Intel,2.4,6,10,Intel,2.1,479.0,1,1,174.05705383053478,Windows
MSI,178,Gaming,Intel,2.8,16,20,Nvidia,1.8,2241.5,0,0,174.05705383053478,Windows
Lenovo,210,Notebook,Intel,2.5,8,16,Nvidia,2.2,629.0,0,0,174.05705383053478,Others/No OS/Linux
HP,371,Notebook,Intel,1.8,16,29,Nvidia,2.5,1271.0,0,0,156.9531814888059,Windows
Acer,58,Notebook,AMD,3.0,4,16,AMD,2.1,451.0,0,0,123.83434142318255,Windows
HP,50,Notebook,Intel,1.6,4,26,Intel,1.86,259.0,0,0,123.83434142318255,Others/No OS/Linux
HP,369,Notebook,Intel,1.6,8,10,Intel,1.63,812.0,0,0,193.94928855402446,Windows
Asus,103,Notebook,AMD,1.5,4,37,AMD,1.65,277.99,0,0,137.98683758583198,Windows
Dell,252,Notebook,Intel,1.8,16,20,AMD,2.8,1396.0,0,0,156.9531814888059,Windows
HP,364,Notebook,Intel,1.6,8,16,Intel,2.5,928.0,0,0,156.9531814888059,Windows
Dell,245,Notebook,Intel,2.5,8,10,AMD,2.36,638.99,0,0,123.83434142318255,Windows
Dell,239,Notebook,Intel,2.0,4,10,AMD,2.2,449.0,0,0,174.05705383053478,Windows
Acer,430,Ultrabook,Intel,1.8,8,16,Intel,1.6,884.0,0,1,193.94928855402446,Windows
Acer,65,Notebook,Intel,2.7,4,16,Nvidia,2.2,572.0,0,0,174.05705383053478,Windows
HP,7,Notebook,Intel,2.7,8,10,Intel,2.05,598.0,0,0,123.83434142318255,Windows
HP,369,Notebook,Intel,1.8,8,16,Intel,1.63,988.0,0,0,193.94928855402446,Windows
Lenovo,504,Notebook,Intel,1.1,4,10,Intel,1.9,252.36,0,0,123.83434142318255,Others/No OS/Linux
Asus,140,Gaming,Intel,2.5,8,5,Nvidia,3.0,938.0,0,0,156.9531814888059,Windows
Lenovo,210,Notebook,Intel,2.5,4,10,Nvidia,2.2,499.0,0,0,174.05705383053478,Others/No OS/Linux
HP,123,Notebook,Intel,2.5,4,16,Intel,1.32,699.0,0,1,204.15714584634154,Windows
Acer,59,Notebook,Intel,2.7,4,10,Nvidia,3.0,655.0,0,1,156.9531814888059,Windows
Lenovo,455,Notebook,Intel,1.6,8,16,AMD,1.75,1116.02,0,1,193.94928855402446,Windows
Lenovo,291,Gaming,Intel,2.8,8,16,Nvidia,2.4,869.0,0,1,174.05705383053478,Others/No OS/Linux
Toshiba,411,Notebook,Intel,2.3,4,26,Intel,2.1,602.0,0,0,123.83434142318255,Windows
HP,51,Notebook,AMD,2.5,4,16,AMD,1.86,369.0,0,0,123.83434142318255,Windows
Asus,607,Ultrabook,Intel,1.8,8,16,Intel,1.25,1099.0,0,0,193.94928855402446,Windows
HP,113,Ultrabook,Intel,1.2,8,29,Intel,0.97,2014.0,1,1,434.4464063610148,Windows
Asus,555,Notebook,Intel,1.1,4,10,Intel,2.0,344.0,0,0,174.05705383053478,Windows
MSI,152,Gaming,Intel,2.8,16,18,Nvidia,2.9,2029.0,0,0,156.9531814888059,Windows
Acer,62,Notebook,Intel,2.0,4,10,Intel,2.1,447.0,0,0,123.83434142318255,Windows
Dell,248,Gaming,Intel,2.8,16,29,Nvidia,2.56,1249.26,0,0,174.05705383053478,Windows
Dell,256,Gaming,Intel,2.8,8,1,Nvidia,2.62,899.0,0,0,174.05705383053478,Windows
Lenovo,505,Notebook,Intel,2.5,4,4,Intel,1.9,498.0,0,0,123.83434142318255,Windows
MSI,155,Gaming,Intel,2.8,16,18,Nvidia,2.8,1890.0,0,0,156.9531814888059,Windows
HP,111,Ultrabook,Intel,2.7,4,16,Intel,1.48,1082.0,0,0,193.94928855402446,Windows
HP,9,Notebook,Intel,1.6,6,16,AMD,1.91,619.0,0,0,174.05705383053478,Windows
Lenovo,583,2 in 1 Convertible,Intel,2.4,4,16,Intel,1.74,629.0,1,1,193.94928855402446,Windows
Asus,600,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.1,1315.0,1,0,204.15714584634154,Windows
Dell,250,2 in 1 Convertible,Intel,1.8,8,16,Intel,1.56,1049.0,1,0,174.05705383053478,Windows
Toshiba,411,Notebook,Intel,2.2,4,26,Intel,2.1,447.0,0,0,123.83434142318255,Windows
Asus,569,Notebook,AMD,3.0,4,10,AMD,2.03,403.0,0,0,123.83434142318255,Windows
Acer,67,Notebook,Intel,1.6,4,16,Nvidia,3.0,805.0,0,1,156.9531814888059,Windows
Dell,240,Notebook,Intel,1.6,8,16,AMD,2.13,728.0,0,0,174.05705383053478,Windows
Lenovo,291,Gaming,Intel,2.8,16,16,Nvidia,2.5,1079.0,0,1,174.05705383053478,Windows
Acer,61,Notebook,Intel,1.1,4,10,Intel,2.1,348.0,0,0,123.83434142318255,Windows
MSI,149,Gaming,Intel,2.8,16,18,Nvidia,2.4,1799.0,0,1,174.05705383053478,Windows
Acer,58,Notebook,Intel,1.1,4,10,Intel,2.1,363.51,0,0,123.83434142318255,Windows
Dell,248,Gaming,Intel,2.8,8,5,Nvidia,2.56,1060.49,0,0,174.05705383053478,Windows
Acer,67,Notebook,Intel,1.6,8,16,Nvidia,3.0,854.0,0,1,156.9531814888059,Windows
HP,361,Notebook,Intel,1.6,4,26,Intel,1.49,754.0,0,1,204.15714584634154,Windows
Huawei,302,Ultrabook,Intel,2.5,8,16,Intel,1.05,1349.0,0,1,234.97702267122196,Windows
HP,47,Notebook,Intel,2.5,6,22,AMD,2.71,699.0,0,1,156.9531814888059,Windows
Lenovo,207,Notebook,AMD,2.9,4,26,AMD,2.2,309.0,0,0,123.83434142318255,Others/No OS/Linux
Toshiba,411,Notebook,Intel,2.4,4,26,Intel,2.0,489.0,0,0,123.83434142318255,Windows
HP,364,Notebook,Intel,1.6,8,16,Nvidia,2.5,923.0,0,0,156.9531814888059,Windows
Dell,239,Notebook,Intel,2.4,8,10,Intel,2.3,459.0,0,0,123.83434142318255,Windows
Acer,62,Notebook,Intel,2.0,4,4,Intel,2.1,449.0,0,0,123.83434142318255,Windows
MSI,190,Gaming,Intel,2.9,32,31,Nvidia,4.4,2799.0,0,0,147.57011085632297,Windows
Lenovo,518,Notebook,Intel,2.5,8,5,AMD,1.9,813.0,0,0,174.05705383053478,Windows
HP,421,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.29,1499.0,1,1,408.31429169268307,Windows
Dell,247,Notebook,Intel,1.8,16,20,AMD,2.02,1049.0,0,0,174.05705383053478,Others/No OS/Linux
Dell,576,Ultrabook,Intel,1.6,8,16,Intel,1.23,1399.0,0,0,204.15714584634154,Windows
Lenovo,591,2 in 1 Convertible,Intel,1.8,16,29,Intel,1.4,1849.0,1,1,390.6892143534306,Windows
Toshiba,411,Notebook,Intel,2.5,8,4,Intel,2.0,793.0,0,0,123.83434142318255,Windows
Xiaomi,303,Notebook,Intel,1.6,8,16,Nvidia,1.95,1199.0,0,1,174.05705383053478,Others/No OS/Linux
Dell,260,Notebook,Intel,1.8,16,29,Nvidia,2.77,1549.0,1,0,156.9531814888059,Windows
Dell,577,Notebook,Intel,2.8,16,29,Nvidia,2.06,2397.0,1,0,348.11410766106957,Windows
Lenovo,291,Gaming,Intel,2.5,8,16,Nvidia,2.4,779.0,0,1,174.05705383053478,Others/No OS/Linux
Acer,431,Ultrabook,Intel,1.2,8,16,Intel,1.12,989.0,0,1,204.15714584634154,Windows
Dell,252,Notebook,Intel,1.8,8,5,AMD,2.8,1085.0,0,0,156.9531814888059,Windows
Lenovo,494,2 in 1 Convertible,Intel,2.7,16,12,Intel,1.42,2824.0,1,0,258.59905140536597,Windows
Vero,264,Notebook,Intel,1.1,4,23,Intel,1.3,260.0,0,1,193.94928855402446,Windows
Xiaomi,303,Ultrabook,Intel,2.5,8,16,Nvidia,1.3,999.9,0,1,204.15714584634154,Others/No OS/Linux
Lenovo,213,Notebook,Intel,1.6,8,16,Nvidia,2.8,698.0,0,0,130.79431790733827,Others/No OS/Linux
Dell,244,2 in 1 Convertible,Intel,1.8,8,10,Intel,1.62,839.0,1,1,204.15714584634154,Windows
HP,364,Notebook,Intel,1.6,8,10,Nvidia,2.5,914.0,0,1,156.9531814888059,Windows
Razer,85,Gaming,Intel,2.9,32,12,Nvidia,3.49,6099.0,1,0,313.9063629776118,Windows
HP,361,Notebook,Intel,1.6,8,29,Intel,1.49,959.0,0,0,204.15714584634154,Windows
HP,317,Gaming,Intel,2.8,16,18,Nvidia,3.35,1379.0,0,1,156.9531814888059,Windows
HP,371,Notebook,Intel,1.8,8,16,Nvidia,2.5,1045.0,0,0,156.9531814888059,Windows
Dell,258,Gaming,Intel,2.8,16,31,Nvidia,2.65,1845.0,0,1,348.11410766106957,Windows
Lenovo,511,Notebook,Intel,2.3,4,4,Intel,2.1,493.0,0,0,123.83434142318255,Windows
Acer,71,Notebook,Intel,2.7,8,10,Nvidia,2.23,742.0,0,0,174.05705383053478,Windows
Lenovo,292,Gaming,Intel,2.8,16,31,Nvidia,3.2,1749.0,0,1,174.05705383053478,Windows
Dell,352,Workstation,Intel,3.0,16,18,Nvidia,2.8,3055.0,0,0,348.11410766106957,Windows
Lenovo,291,Gaming,Intel,2.8,16,29,Nvidia,2.4,1398.0,0,0,174.05705383053478,Others/No OS/Linux
Dell,239,Notebook,Intel,2.4,6,10,Intel,2.3,439.0,1,0,123.83434142318255,Windows
Dell,576,Ultrabook,Intel,1.8,8,16,Intel,1.21,1949.0,1,1,408.31429169268307,Windows
Dell,576,Ultrabook,Intel,1.8,8,16,Intel,1.2,1449.0,0,0,204.15714584634154,Windows
Lenovo,210,Notebook,Intel,2.5,8,16,Intel,2.2,597.0,0,0,123.83434142318255,Windows
Acer,60,Notebook,Intel,2.8,8,10,Nvidia,2.4,779.0,0,0,174.05705383053478,Others/No OS/Linux
Asus,384,Gaming,Intel,2.8,16,18,Nvidia,2.9,1407.0,0,0,156.9531814888059,Windows
HP,22,Notebook,Intel,2.0,4,26,Intel,2.1,349.0,0,0,174.05705383053478,Others/No OS/Linux
Lenovo,210,Notebook,Intel,2.5,8,16,Intel,2.2,549.0,0,0,174.05705383053478,Others/No OS/Linux
Huawei,302,Ultrabook,Intel,2.7,8,29,Intel,1.05,1499.0,0,1,234.97702267122196,Windows
Dell,242,Ultrabook,Intel,1.8,8,16,AMD,1.4,931.88,0,1,204.15714584634154,Windows
Lenovo,212,Notebook,Intel,2.5,8,10,Nvidia,2.8,589.0,0,0,130.79431790733827,Others/No OS/Linux
HP,369,Notebook,Intel,1.8,8,16,Nvidia,1.63,1031.0,0,0,193.94928855402446,Windows
Dell,280,Ultrabook,Intel,1.6,8,16,Intel,1.6,1149.0,0,0,193.94928855402446,Windows
Dell,244,2 in 1 Convertible,Intel,1.8,16,29,Intel,1.62,1279.0,1,0,204.15714584634154,Windows
Dell,240,Notebook,Intel,1.6,8,16,AMD,2.2,677.35,0,0,174.05705383053478,Others/No OS/Linux
Lenovo,583,2 in 1 Convertible,Intel,1.6,8,16,Intel,1.74,899.0,0,1,193.94928855402446,Windows
Toshiba,341,Ultrabook,Intel,2.5,8,16,Intel,1.2,1363.0,0,0,204.15714584634154,Windows
HP,363,Notebook,Intel,1.6,8,10,Intel,2.1,794.0,0,0,174.05705383053478,Windows
Dell,56,Gaming,Intel,2.8,16,18,Nvidia,4.42,2456.34,0,1,156.9531814888059,Windows
Acer,71,Notebook,Intel,2.7,8,16,Nvidia,2.2,832.0,0,0,174.05705383053478,Windows
Dell,245,Notebook,Intel,2.7,16,10,AMD,2.3,859.01,1,0,174.05705383053478,Windows
Asus,545,Notebook,Intel,2.5,8,16,Nvidia,2.0,769.0,0,0,174.05705383053478,Windows
Asus,266,Notebook,Intel,2.5,8,21,Nvidia,2.69,891.0,0,0,156.9531814888059,Windows
HP,594,Notebook,Intel,2.7,8,10,AMD,1.9,1269.0,0,0,174.05705383053478,Windows
Asus,359,Notebook,Intel,2.4,4,10,Intel,2.37,398.99,0,0,123.83434142318255,Windows
HP,38,Notebook,AMD,1.5,4,26,AMD,2.1,330.0,0,0,123.83434142318255,Windows
Lenovo,292,Gaming,Intel,2.8,16,18,Nvidia,3.2,1499.0,0,1,174.05705383053478,Windows
Dell,549,Notebook,Intel,2.5,8,16,Intel,1.6,859.0,0,0,193.94928855402446,Windows
Acer,79,2 in 1 Convertible,Intel,2.3,8,16,Intel,1.6,689.0,1,1,204.15714584634154,Windows
Dell,245,Notebook,Intel,2.7,16,16,AMD,2.36,899.0,0,0,174.05705383053478,Others/No OS/Linux
Acer,62,Notebook,Intel,2.0,4,10,Intel,2.1,390.0,0,0,123.83434142318255,Others/No OS/Linux
Asus,570,Notebook,AMD,2.5,4,5,AMD,2.2,575.0,0,0,174.05705383053478,Windows
Asus,381,Gaming,Intel,2.9,32,31,Nvidia,4.7,3890.0,0,0,156.9531814888059,Windows
Acer,307,Gaming,Intel,2.5,8,16,Nvidia,2.5,846.0,0,1,174.05705383053478,Windows
Lenovo,211,Notebook,Intel,2.0,8,4,Intel,2.2,589.0,0,0,123.83434142318255,Windows
Asus,539,Notebook,Intel,1.8,8,5,Nvidia,2.1,1145.0,0,0,156.9531814888059,Windows
Asus,129,Notebook,Intel,2.7,8,5,Nvidia,2.69,889.0,0,0,156.9531814888059,Others/No OS/Linux
Dell,248,Gaming,Intel,2.5,8,16,Nvidia,2.56,879.0,0,0,174.05705383053478,Windows
Lenovo,590,2 in 1 Convertible,Intel,2.7,8,16,Intel,1.38,1079.0,1,1,195.3446071767153,Windows
Dell,247,Notebook,Intel,1.8,8,6,AMD,2.2,985.0,0,0,174.05705383053478,Windows
HP,20,Notebook,Intel,2.5,8,10,Intel,2.04,559.0,1,0,123.83434142318255,Windows
Asus,387,Gaming,Intel,2.9,16,16,Nvidia,3.6,2999.0,0,0,156.9531814888059,Windows
HP,361,Notebook,Intel,1.6,4,26,Intel,1.49,675.0,0,1,204.15714584634154,Windows
Apple,300,Ultrabook,Intel,3.1,8,29,Intel,1.37,2040.0,0,1,272.209527795122,Mac
Dell,250,2 in 1 Convertible,Intel,1.8,8,10,Intel,2.08,819.0,1,1,174.05705383053478,Windows
Asus,382,Gaming,Intel,2.8,16,18,Nvidia,4.3,1799.0,0,0,156.9531814888059,Windows
Asus,552,Notebook,AMD,3.0,4,10,AMD,1.68,469.0,0,0,123.83434142318255,Windows
Lenovo,591,2 in 1 Convertible,Intel,1.8,8,29,Intel,1.37,1849.0,1,1,195.3446071767153,Windows
Acer,59,Notebook,Intel,2.7,4,16,Nvidia,3.0,702.0,0,1,156.9531814888059,Windows
